"persons","age","contacted_by_phone","voted_last_election","donation"
2,74,1,1,474
2,24,1,1,1158
2,81,1,1,3872
2,34,1,0,0
2,54,1,1,0
2,65,1,1,0
2,52,1,1,3101
2,44,1,1,1332
2,52,1,1,0
2,30,1,0,0
2,57,1,1,0
2,73,1,1,0
2,26,1,0,0
2,38,1,0,0
2,61,1,1,0
2,77,1,1,334
2,53,1,1,0
2,46,1,1,0
2,76,1,1,774
2,55,1,1,4000
2,84,1,0,0
2,45,1,1,0
2,40,1,0,0
2,44,1,1,1244
2,33,1,1,2878
2,60,1,1,2857
2,76,1,1,1902
2,71,1,1,0
2,43,1,1,971
2,66,1,1,0
2,79,1,1,0
2,48,1,1,4000
2,62,1,1,2877
2,78,1,1,1874
2,55,1,1,1048
2,72,1,1,1382
2,53,1,1,0
2,89,1,1,3390
2,86,1,1,0
2,75,1,1,0
2,47,1,0,0
2,28,1,1,708
2,51,1,0,1872
2,73,1,1,559
2,78,1,1,0
2,38,1,1,3510
2,80,1,1,4000
2,75,1,1,0
2,79,1,0,0
2,72,1,0,798
2,75,1,0,0
2,65,1,0,0
2,52,1,0,1648
2,74,0,1,185
2,37,0,1,837
2,78,0,1,1068
2,21,0,1,492
2,43,0,1,723
2,28,0,0,1365
2,45,0,1,0
2,78,0,1,0
2,67,0,1,0
2,70,0,1,0
2,47,0,0,542
2,47,0,1,1774
2,40,0,1,0
2,78,0,1,0
2,92,0,0,0
2,26,0,0,0
2,64,0,1,3099
2,57,0,0,0
2,28,0,0,0
2,60,0,0,0
2,29,0,1,1182
2,47,0,0,0
2,39,0,1,0
2,79,0,1,111
2,43,0,1,0
2,55,0,0,4000
2,36,0,1,0
2,27,0,1,4000
2,51,0,1,2822
2,54,0,1,0
2,30,0,0,0
2,37,0,0,1312
2,37,0,0,0
2,79,0,1,930
2,61,0,0,0
2,79,0,1,0
2,42,0,1,0
2,40,0,0,17
2,75,0,1,1248
2,66,0,1,269
2,88,0,0,0
2,77,0,1,1412
2,41,0,0,0
2,47,0,0,7
2,65,0,0,3250
2,56,0,0,1352
2,38,0,1,0
2,54,0,0,0
2,50,0,1,591
2,59,0,1,0
2,57,0,1,0
2,65,0,1,4000
2,66,0,1,0
2,64,0,1,0
2,33,0,0,2067
2,25,0,1,2165
2,64,0,0,2973
2,43,0,0,0
2,46,0,0,229
2,45,0,0,141
2,20,0,0,66
2,46,0,1,0
2,34,0,1,0
2,86,0,1,1396
2,73,0,0,0
2,74,0,1,357
2,35,0,0,0
2,50,0,0,756
2,42,0,0,1299
2,61,0,1,1811
2,39,0,0,0
2,34,0,0,0
2,24,0,0,0
2,88,0,1,491
2,41,0,1,0
2,45,0,0,608
2,41,0,1,0
2,58,0,1,641
2,50,0,1,81
2,26,0,0,0
2,57,0,0,1750
2,57,0,0,0
2,83,0,0,0
2,64,0,0,67
2,33,0,1,937
2,58,0,1,0
2,65,0,1,1037
2,34,0,1,81
2,46,0,1,687
2,47,0,0,0
2,33,0,0,0
2,57,0,1,917
2,75,0,1,0
2,31,0,0,750
2,79,0,0,0
2,91,0,0,1358
2,42,0,0,0
2,76,0,1,0
2,62,0,1,0
2,39,0,0,1954
2,26,0,0,0
2,85,0,0,0
2,30,0,0,0
2,37,0,0,0
2,39,0,0,0
2,39,0,1,0
2,47,0,0,0
2,74,0,1,0
2,40,0,1,1375
2,34,0,1,0
2,36,0,0,563
2,74,0,1,663
2,89,0,0,0
2,58,0,0,1980
2,47,0,0,0
2,31,0,0,928
2,73,0,0,1048
2,39,0,0,0
2,37,0,1,2260
2,35,0,1,0
2,29,0,0,2179
2,41,0,1,0
2,34,0,0,991
2,46,0,0,0
2,56,0,1,0
2,33,0,0,1185
2,51,0,1,0
2,66,0,1,1693
2,62,0,1,0
2,80,0,1,275
2,82,0,1,0
2,47,0,1,1010
2,20,0,0,2005
2,40,0,1,0
2,61,0,0,1423
2,68,0,1,0
2,34,0,0,3924
2,73,0,1,0
2,52,0,1,0
2,35,0,0,0
2,35,0,0,246
2,73,0,1,0
2,43,0,1,281
2,76,0,1,0
2,45,0,1,2678
2,47,0,0,2164
2,49,0,0,1163
2,82,0,1,0
2,59,0,0,0
2,49,0,0,0
2,37,0,0,1918
2,74,0,0,642
2,61,0,1,0
2,26,0,0,877
2,48,0,0,0
2,38,0,0,0
2,48,0,1,0
2,50,0,1,437
2,36,0,1,3247
2,46,0,0,2311
2,34,0,0,0
2,85,0,1,2283
2,68,0,0,0
2,63,0,1,169
2,48,0,1,0
2,65,0,1,790
2,32,0,1,0
2,39,0,1,0
2,68,0,0,1144
2,26,0,0,20
2,19,0,0,0
2,61,0,1,1539
2,77,0,1,2000
2,25,0,1,721
2,69,0,1,0
2,73,0,1,0
2,46,0,1,0
2,38,0,0,0
2,22,0,1,0
2,35,0,0,0
2,49,0,0,986
2,53,0,1,0
2,36,0,0,74
2,57,0,1,0
2,20,0,0,929
2,51,0,1,0
2,33,0,1,1848
2,74,0,1,0
2,42,0,1,0
2,31,0,0,0
2,54,0,0,1123
2,44,0,0,364
2,64,0,1,326
2,49,0,1,0
2,38,0,0,0
2,53,0,1,0
2,41,0,0,0
2,63,0,1,1529
2,71,0,1,981
2,51,0,1,0
2,55,0,1,2671
2,48,0,1,0
2,42,0,1,0
2,27,0,0,0
2,60,0,1,0
2,58,0,1,3335
2,28,0,1,161
2,23,0,0,1862
2,47,0,0,1259
2,71,0,1,816
2,39,0,1,0
2,44,0,1,1517
2,43,0,1,1794
2,97,0,0,992
2,44,0,1,0
2,29,0,0,0
2,27,0,1,0
2,59,0,1,0
2,84,0,1,0
2,42,0,1,0
2,29,0,0,154
2,57,0,1,1835
2,44,0,1,932
2,28,0,0,0
2,89,0,1,0
2,32,0,1,0
2,49,0,1,854
2,42,0,0,0
2,81,0,0,0
2,68,0,0,0
2,32,0,1,2259
2,51,0,0,1678
2,53,0,1,0
2,38,0,1,2569
2,62,0,1,0
2,51,0,1,0
2,24,0,1,3841
2,33,0,1,0
2,22,0,0,1314
2,37,0,0,841
2,43,0,1,547
2,38,0,0,0
2,48,0,1,1660
2,29,0,0,0
2,75,0,1,230
2,60,0,1,0
2,53,0,0,0
2,41,0,1,0
2,35,0,0,1062
2,43,0,1,1491
2,50,0,1,261
2,20,0,0,0
2,39,0,1,0
2,71,0,1,1070
2,35,0,1,0
2,56,0,1,1300
2,30,0,0,0
2,52,0,1,922
2,57,0,1,2666
2,37,0,1,0
2,69,0,1,0
2,37,0,0,0
2,56,0,0,3177
2,65,0,0,0
2,42,0,0,720
2,50,0,0,0
2,74,0,1,0
2,35,0,1,365
2,53,0,1,0
2,53,0,1,718
2,57,0,1,0
2,22,0,0,0
2,78,0,1,0
2,46,0,1,0
2,33,0,1,0
2,69,0,1,1921
2,33,0,1,2911
2,34,0,0,3303
2,34,0,1,583
2,46,0,1,0
2,32,0,0,1993
2,53,0,1,0
2,44,0,0,288
2,45,0,1,0
2,37,0,0,1288
2,46,0,0,2753
2,41,0,0,0
2,64,0,1,0
2,55,0,1,566
2,29,0,0,4000
2,42,0,1,2044
2,73,0,0,0
2,34,0,0,0
2,59,0,1,208
2,35,0,0,2298
2,80,0,1,0
2,55,0,0,97
2,77,0,1,259
2,36,0,0,0
2,74,0,1,2280
2,35,0,0,0
2,49,0,0,0
2,42,0,0,0
2,20,0,0,2585
2,30,0,1,0
2,50,0,0,0
2,22,0,0,0
2,42,0,0,4000
2,59,0,1,386
2,48,0,0,3003
2,23,0,0,0
2,37,0,0,1427
2,59,0,0,1295
2,45,0,1,0
2,43,0,0,0
2,66,0,1,4000
2,50,0,1,0
2,35,0,0,2104
2,46,0,1,345
2,51,0,0,0
2,39,0,0,0
2,34,0,0,810
2,35,0,0,1358
2,43,0,0,0
2,71,0,1,0
2,46,0,0,0
2,29,0,1,2544
2,38,0,1,3495
2,38,0,0,3123
2,31,0,0,0
2,59,0,1,0
2,22,0,0,837
2,65,0,0,0
2,27,0,0,2057
2,38,0,0,782
2,56,0,1,0
2,49,0,1,0
2,31,0,0,2080
2,50,0,0,0
2,28,0,1,2871
2,52,0,1,445
2,80,0,1,0
2,56,0,0,0
2,48,0,1,1134
2,34,0,0,0
2,70,0,1,2510
2,46,0,0,0
2,23,0,0,0
2,34,0,0,0
2,33,0,0,0
2,47,0,1,0
2,57,0,0,1814
2,30,0,0,0
2,38,0,0,0
2,63,0,0,0
2,58,0,1,1744
2,43,0,0,0
2,32,0,1,748
2,44,0,0,0
2,24,0,0,0
2,47,0,1,0
2,45,0,1,0
2,35,0,1,0
2,36,0,0,3139
2,50,0,1,4000
2,77,0,1,2057
2,76,0,1,0
2,37,0,0,0
2,59,0,0,279
2,82,0,1,0
2,79,0,0,372
2,79,0,0,442
2,72,0,1,0
2,61,0,1,2658
2,52,0,0,2818
2,21,0,0,1536
2,59,0,1,0
2,46,0,0,2213
2,46,0,1,0
2,78,0,0,2689
2,47,0,0,0
2,56,0,1,4000
2,45,0,1,174
2,69,0,0,157
2,50,0,1,506
2,51,0,0,1874
2,74,0,0,0
2,73,0,1,0
2,47,0,1,527
2,63,0,1,1161
2,75,0,1,0
2,76,0,1,0
2,55,0,1,0
2,49,0,1,0
2,71,0,1,1411
2,72,0,0,0
2,35,0,0,0
2,27,0,0,201
2,37,0,1,0
2,75,0,1,580
2,71,0,1,453
2,77,0,0,0
2,84,0,0,3158
2,86,0,1,0
2,45,0,1,876
2,21,0,0,3610
2,78,0,1,528
2,43,0,1,0
2,34,0,0,0
2,25,0,0,2372
2,66,0,1,1651
2,22,0,1,3111
2,83,0,1,3312
2,56,0,1,1475
2,39,0,0,0
2,78,0,1,0
2,56,0,0,1110
2,36,0,1,1219
2,68,0,1,1967
2,73,0,1,0
2,41,0,0,0
2,83,0,0,0
2,33,0,1,0
2,45,0,0,579
2,43,0,0,0
2,28,0,0,1585
2,26,0,1,1002
2,52,0,1,0
2,48,0,0,0
2,50,0,1,0
2,51,0,1,0
2,39,0,0,0
2,48,0,0,476
2,30,0,0,0
2,42,0,1,741
2,59,0,0,0
2,40,0,1,1409
2,65,0,1,0
2,28,0,0,1407
2,73,0,0,1245
2,31,0,0,424
2,77,0,1,461
2,26,0,1,0
2,79,0,1,0
2,60,0,0,691
2,89,0,0,0
2,90,0,1,0
2,73,0,1,0
2,32,0,1,25
2,70,0,1,0
2,79,0,1,12
2,30,0,0,0
2,75,0,1,0
2,87,0,0,0
2,52,0,1,0
2,44,0,0,0
2,30,0,0,0
2,55,0,0,0
2,53,0,1,0
2,49,0,1,823
2,24,0,0,2416
2,50,0,1,0
2,68,0,1,728
2,54,0,0,0
2,59,0,0,3020
2,27,0,0,0
2,65,0,0,0
2,44,0,0,0
2,50,0,1,0
2,41,0,1,0
2,25,0,0,661
2,66,0,0,0
2,27,0,0,479
2,44,0,0,0
2,41,0,0,0
2,63,0,0,0
2,34,0,0,0
2,57,0,0,0
2,51,0,1,0
2,48,0,0,619
2,77,0,1,797
2,69,0,1,0
2,47,0,1,0
2,28,0,0,1803
2,46,0,0,4000
2,30,0,0,1234
2,25,0,0,972
2,77,0,1,3119
2,52,0,0,0
2,26,0,0,0
2,45,0,1,441
2,76,0,1,0
2,65,0,0,0
2,86,0,0,566
2,77,0,0,0
2,40,0,1,2175
2,46,0,1,1215
2,30,0,0,0
2,37,0,0,0
2,38,0,0,0
2,77,0,1,0
2,43,0,0,0
2,45,0,0,612
2,26,0,0,0
2,23,0,0,110
2,44,0,0,848
2,37,0,0,0
2,56,0,1,0
2,24,0,0,0
2,35,0,0,597
2,35,0,0,1962
2,43,0,0,1801
2,42,0,0,0
2,54,0,1,742
2,76,0,1,0
2,52,0,0,13
2,59,0,1,481
2,82,0,1,1995
2,27,0,0,0
2,26,0,1,0
2,67,0,1,234
2,64,0,1,192
2,23,0,0,701
2,26,0,0,0
2,27,0,0,953
2,38,0,0,234
2,50,0,1,1725
2,67,0,0,0
2,32,0,0,0
2,62,0,1,0
2,45,0,0,1260
2,52,0,0,0
2,64,0,1,0
2,75,0,1,735
2,28,0,0,1468
2,51,0,0,1242
2,39,0,0,1625
2,37,0,0,0
2,51,0,1,0
2,46,0,1,1431
2,28,0,0,1533
2,52,0,0,196
2,41,0,0,0
2,49,0,0,2090
2,70,0,0,1316
2,27,0,0,3080
2,40,0,0,0
2,53,0,0,0
2,75,0,1,1637
2,73,0,1,0
2,47,0,1,0
2,49,0,0,1673
2,78,0,0,2169
2,64,0,1,0
2,50,0,0,3483
2,68,0,0,1264
2,32,0,0,665
2,34,0,0,0
2,45,0,0,0
2,38,0,0,101
2,86,0,0,0
2,80,0,1,2417
2,69,0,0,0
2,80,0,1,1122
2,40,0,1,1445
2,31,0,1,691
2,40,0,0,2909
2,28,0,0,2478
2,79,0,1,354
2,65,0,0,3713
2,51,0,0,0
2,57,0,1,470
2,74,0,1,1259
2,34,0,0,943
2,53,0,1,0
2,47,0,1,1812
2,52,0,1,1108
2,31,0,0,0
2,76,0,0,772
2,75,0,0,2089
2,32,0,1,1093
2,54,0,1,0
2,45,0,1,48
2,70,0,0,0
2,51,0,1,0
2,74,0,1,0
2,62,0,1,2025
2,61,0,0,1924
2,55,0,0,1530
2,80,0,0,1457
2,74,0,1,1665
2,50,0,1,1728
2,83,0,1,3402
2,24,0,0,0
2,56,0,0,0
2,20,0,0,4000
2,20,0,0,0
2,20,0,0,0
2,54,0,0,0
2,74,0,1,133
2,47,0,0,978
2,51,0,1,0
2,82,0,1,372
2,40,0,1,0
2,83,0,0,0
2,63,0,0,799
2,65,0,1,0
2,46,0,0,1564
2,50,0,0,1376
2,79,0,0,0
2,47,0,0,454
2,57,0,1,0
2,40,0,1,90
2,44,0,1,0
2,30,0,0,0
2,47,0,1,32
2,30,0,1,0
2,48,0,1,0
2,41,0,0,0
2,57,0,0,1688
2,54,0,1,0
2,60,0,1,351
2,82,0,0,2795
2,53,0,0,0
2,32,0,1,0
2,37,0,1,1671
2,46,0,0,0
2,26,0,1,1253
2,69,0,0,336
2,22,0,0,1317
2,44,0,0,3049
2,28,0,0,1654
2,26,0,0,0
2,71,0,0,825
2,49,0,0,0
2,76,0,1,0
2,48,0,1,0
2,52,0,1,2872
2,30,0,1,1058
2,82,0,1,0
2,37,0,1,2860
2,68,0,1,1542
2,23,0,1,1839
2,93,0,0,2617
2,56,0,0,660
2,78,0,1,0
2,49,0,1,1289
2,72,0,1,0
2,18,0,0,0
2,73,0,0,3205
2,47,0,0,0
2,81,0,0,0
2,76,0,1,0
2,44,0,0,0
2,43,0,1,0
2,35,0,1,1827
2,53,0,0,1579
2,80,0,0,3059
2,37,0,0,2083
2,43,0,0,0
2,64,0,1,2427
2,46,0,0,0
2,50,0,0,0
2,49,0,1,1523
2,33,0,0,0
2,47,0,1,204
2,47,0,0,0
2,32,0,0,0
2,54,0,1,678
2,38,0,1,0
2,29,0,1,311
2,77,0,1,834
2,42,0,1,0
2,41,0,1,506
2,69,0,1,321
2,37,0,1,0
2,61,0,1,0
2,69,0,0,0
2,44,0,0,2402
2,22,0,0,2041
2,60,0,0,4000
2,90,0,0,0
2,45,0,0,1812
2,79,0,1,2030
2,46,0,0,3907
2,53,0,1,888
2,29,0,1,0
2,46,0,0,3702
2,45,0,0,0
2,32,0,1,0
2,41,0,0,2275
2,44,0,1,773
2,37,0,1,0
2,46,0,0,23
2,31,0,0,0
2,50,0,0,344
2,52,0,0,4000
2,42,0,1,0
2,22,0,1,0
2,58,0,0,1382
2,73,0,0,0
2,69,0,0,549
2,34,0,1,0
2,56,0,1,0
2,42,0,1,0
2,29,0,0,0
2,47,0,0,2944
2,61,0,0,0
2,43,0,0,3024
2,28,0,0,0
2,67,0,0,0
2,51,0,1,479
2,56,0,1,1038
2,53,0,0,0
2,47,0,1,0
2,46,0,0,0
2,34,0,0,589
2,37,0,0,0
2,65,0,1,636
2,65,0,1,0
2,42,0,1,3407
2,49,0,1,997
2,42,0,1,0
2,53,0,1,0
2,76,0,0,0
2,41,0,0,2058
2,75,0,1,0
2,58,0,0,0
2,80,0,0,605
2,26,0,0,0
2,87,0,0,3446
2,58,0,1,1739
2,50,0,1,0
2,56,0,1,182
2,40,0,0,2005
2,34,0,0,1282
2,60,0,1,1061
2,38,0,1,3282
2,66,0,1,99
2,48,0,1,1007
2,43,0,1,155
2,33,0,0,0
2,74,0,1,0
2,35,0,1,997
2,49,0,0,1721
2,82,0,1,196
2,52,0,0,2817
2,50,0,1,0
2,77,0,1,960
2,30,0,0,0
2,72,0,0,1820
2,71,0,1,0
2,45,0,1,1493
2,38,0,1,1067
2,52,0,1,4000
2,38,0,1,0
2,81,0,1,0
2,48,0,1,91
2,68,0,1,453
2,52,0,0,0
2,77,0,0,2169
2,70,0,1,0
2,51,0,1,741
2,45,0,0,2
2,72,0,1,133
2,29,0,0,382
2,48,0,1,0
2,70,0,1,0
2,43,0,1,1662
2,42,0,1,0
2,28,0,0,719
2,40,0,0,0
2,80,0,0,403
2,61,0,1,0
2,39,0,1,3413
2,56,0,1,518
2,50,0,1,82
2,42,0,1,136
2,24,0,1,647
2,38,0,1,0
2,42,0,1,943
2,39,0,0,1503
2,24,0,1,680
2,22,0,0,0
2,28,0,0,1861
2,30,0,0,2085
2,33,0,0,0
2,39,0,0,1245
2,20,0,0,1049
2,45,0,0,0
2,42,0,1,2580
2,49,0,0,0
2,40,0,1,0
2,41,0,0,0
2,33,0,1,652
2,70,0,0,2274
2,38,0,0,1660
2,29,0,0,879
2,78,0,1,0
2,76,0,1,2492
2,48,0,1,0
2,46,0,1,398
2,39,0,0,383
2,74,0,1,0
2,48,0,1,0
2,54,0,0,2144
2,33,0,0,0
2,82,0,1,3510
2,29,0,0,0
2,34,0,0,0
2,49,0,0,0
2,72,0,1,1176
2,42,0,0,0
2,62,0,1,0
2,89,0,1,2275
2,27,0,1,3397
2,69,0,1,0
2,42,0,1,2346
2,75,0,1,2270
2,45,0,1,0
2,92,0,0,0
2,34,0,0,0
2,41,0,0,0
2,46,0,0,2793
2,30,0,0,0
2,56,0,0,486
2,60,0,1,0
2,83,0,1,415
2,27,0,0,2110
2,35,0,0,0
2,63,0,0,1278
2,19,0,0,0
2,71,0,0,434
2,60,0,1,0
2,43,0,1,841
2,73,0,1,0
2,31,0,0,3085
2,31,0,0,1995
2,43,0,1,0
2,58,0,0,0
2,66,0,0,0
2,47,0,0,0
2,35,0,0,2310
2,29,0,1,499
2,33,0,0,0
2,57,0,1,0
2,37,0,0,311
2,68,0,1,0
2,49,0,1,0
2,37,0,1,0
2,63,0,1,0
2,59,0,1,4000
2,40,0,1,0
2,19,0,0,764
2,31,0,0,0
2,42,0,1,990
2,24,0,0,0
2,55,0,1,0
2,80,0,0,0
2,46,0,0,2393
2,60,0,1,4000
2,54,0,1,799
2,42,0,0,0
2,34,0,0,0
2,39,0,0,1824
2,58,0,1,0
2,46,0,1,2472
2,72,0,1,1641
2,75,0,1,74
2,66,0,1,0
2,75,0,0,0
2,50,0,1,0
2,55,0,0,942
2,51,0,1,0
2,60,0,1,1825
2,36,0,0,3424
2,64,0,1,0
2,73,0,1,0
2,70,0,1,0
2,29,0,0,773
2,85,0,1,0
2,71,0,1,0
2,56,0,1,0
2,64,0,1,0
2,48,0,1,861
2,40,0,1,680
2,62,0,0,1819
2,33,0,0,0
2,51,0,0,0
2,53,0,1,1465
2,35,0,0,0
2,62,0,0,0
2,35,0,0,0
2,38,0,1,0
2,53,0,0,2632
2,50,0,0,0
2,53,0,0,99
2,41,0,0,0
2,60,0,1,2209
2,38,0,1,0
2,38,0,1,2149
2,70,0,1,0
2,41,0,0,0
2,54,0,1,2450
2,42,0,0,0
2,21,0,1,1474
2,39,0,0,0
2,55,0,0,0
2,77,0,0,0
2,37,0,0,0
2,45,0,1,0
2,21,0,0,565
2,44,0,0,0
2,42,0,1,0
2,76,0,1,3297
2,55,0,1,919
2,69,0,1,2122
2,76,0,1,0
2,34,0,0,0
2,54,0,1,1012
2,49,0,1,0
2,56,0,1,0
2,43,0,1,987
2,51,0,0,0
2,95,0,0,0
2,39,0,1,2996
2,46,0,1,992
2,67,0,0,0
2,36,0,0,0
2,57,0,1,0
2,19,0,0,0
2,37,0,1,0
2,36,0,1,3970
2,60,0,1,2517
2,57,0,1,1544
2,59,0,0,0
2,25,0,0,0
2,58,0,1,450
2,48,0,1,88
2,27,0,1,4000
2,54,0,1,418
2,64,0,1,96
2,44,0,0,2530
2,44,0,0,1071
2,79,0,0,0
2,65,0,1,0
2,62,0,0,0
2,47,0,1,0
2,25,0,0,3415
2,57,0,1,2514
2,34,0,0,0
2,70,0,1,175
2,19,0,0,0
2,34,0,0,80
2,49,0,0,0
2,37,0,1,4000
2,53,0,1,0
2,32,0,0,0
2,49,0,1,3249
2,60,0,0,0
2,57,0,1,0
2,39,0,1,1558
2,45,0,0,0
2,46,0,1,712
2,30,0,1,0
2,48,0,1,490
2,56,0,1,0
2,52,0,1,1087
2,52,0,1,0
2,46,0,1,0
2,44,0,1,0
2,51,0,1,4000
2,56,0,1,2312
2,42,0,1,0
2,55,0,1,872
2,54,0,0,1393
2,40,0,0,3742
2,76,0,1,2700
2,48,0,0,0
2,80,0,0,0
2,47,0,1,0
2,39,0,1,0
2,51,0,1,3579
2,24,0,0,1671
2,39,0,0,3001
2,64,0,1,875
2,48,0,0,0
2,42,0,1,0
2,37,0,1,747
2,38,0,0,0
2,51,0,1,0
2,72,0,1,0
2,58,0,0,1278
2,76,0,0,0
2,89,0,1,0
2,53,0,1,0
2,47,0,1,2802
2,28,0,0,112
2,79,0,1,404
2,43,0,0,0
2,35,0,0,2456
2,50,0,0,60
2,69,0,1,2946
2,22,0,0,1775
2,30,0,0,2797
2,40,0,1,0
2,33,0,1,334
2,57,0,0,0
2,59,0,0,0
2,72,0,1,0
2,46,0,1,0
2,71,0,1,1017
2,46,0,1,0
2,57,0,0,0
2,38,0,1,0
2,36,0,1,0
2,24,0,1,0
2,75,0,1,0
2,49,0,0,0
2,50,0,0,424
2,39,0,0,0
2,49,0,0,348
2,56,0,0,331
2,35,0,1,1376
2,52,0,1,739
2,43,0,1,208
2,65,0,1,0
2,46,0,0,655
2,60,0,1,0
2,79,0,1,0
2,74,0,0,0
2,60,0,1,0
2,37,0,1,0
2,42,0,0,1657
2,46,0,1,1866
2,40,0,1,3077
2,74,0,1,0
2,68,0,1,0
2,29,0,0,1112
2,84,0,0,3680
2,51,0,1,3201
2,37,0,0,558
2,50,0,1,0
2,64,0,1,1006
2,49,0,0,0
2,63,0,1,0
2,51,0,1,0
2,30,0,1,0
2,46,0,1,712
2,77,0,1,0
2,56,0,0,0
2,48,0,1,0
2,48,0,1,0
2,61,0,1,1313
2,56,0,0,0
2,43,0,1,3106
2,47,0,1,0
2,48,0,0,1780
2,68,0,1,0
2,53,0,1,328
2,50,0,0,0
2,25,0,0,1085
2,37,0,1,127
2,45,0,0,1525
2,61,0,0,0
2,68,0,1,1516
2,29,0,1,0
2,58,0,1,2727
2,68,0,1,2487
2,64,0,1,1104
2,28,0,1,0
2,54,0,1,0
2,72,0,1,1291
2,51,0,1,0
2,44,0,1,0
2,76,0,1,3029
2,61,0,0,1861
2,36,0,1,0
2,66,0,0,0
2,58,0,0,0
2,30,0,1,2569
2,70,0,1,0
2,80,0,1,393
2,74,0,0,4000
2,43,0,1,0
2,35,0,0,0
2,68,0,1,0
2,35,0,0,906
2,39,0,0,0
2,50,0,0,681
2,41,0,0,2387
2,39,0,0,0
2,55,0,1,1685
2,31,0,0,0
2,64,0,1,0
2,47,0,0,0
2,31,0,0,0
2,35,0,0,0
