"voter_registration","education","would_vote_biden","would_vote_trump"
"registered","Not college graduate",0,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Refused-Blanks",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Refused-Blanks",0,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Refused-Blanks",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",0,1
"registered","College graduate",0,0
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,0
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,0
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","College graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","Not college graduate",1,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","Not college graduate",0,1
"registered","College graduate",0,1
"registered","College graduate",1,0
"registered","College graduate",1,0
"registered","Not college graduate",0,0
"registered","Not college graduate",1,0
"registered","Not college graduate",0,1
"registered","College graduate",0,1
